Data,Deaths,Deaths_N,Deaths_LVT
31-1-20,NaN,   NaN,   NaN
1-2-20,0,   NaN,   NaN
2-2-20,0,   NaN,   NaN
3-2-20,0,   NaN,   NaN
4-2-20,0,   NaN,   NaN
5-2-20,0,   NaN,   NaN
6-2-20,0,   NaN,   NaN
7-2-20,0,   NaN,   NaN
8-2-20,0,   NaN,   NaN
9-2-20,0,   NaN,   NaN
10-2-20,0,   NaN,   NaN
11-2-20,0,   NaN,   NaN
12-2-20,0,   NaN,   NaN
13-2-20,0,   NaN,   NaN
14-2-20,0,   NaN,   NaN
15-2-20,0,   NaN,   NaN
16-2-20,0,   NaN,   NaN
17-2-20,0,   NaN,   NaN
18-2-20,0,   NaN,   NaN
19-2-20,0,   NaN,   NaN
20-2-20,0,   NaN,   NaN
21-2-20,0,   NaN,   NaN
22-2-20,0,   NaN,   NaN
23-2-20,0,   NaN,   NaN
24-2-20,0,   NaN,   NaN
25-2-20,0,   NaN,   NaN
26-02-2020,0,   NaN,   NaN
27-02-2020,0,0,0
28-02-2020,0,0,0
29-02-2020,0,0,0
01-03-2020,0,0,0
02-03-2020,0,0,0
03-03-2020,0,0,0
04-03-2020,0,0,0
05-03-2020,0,0,0
06-03-2020,0,0,0
07-03-2020,0,0,0
08-03-2020,0,0,0
09-03-2020,0,0,0
10-03-2020,0,0,0
11-03-2020,0,0,0
12-03-2020,0,0,0
13-03-2020,0,0,0
14-03-2020,0,0,0
15-03-2020,0,0,0
16-03-2020,0,0,0
17-03-2020,1,0,1
18-03-2020,0,0,0
19-03-2020,2,0,1
20-03-2020,3,1,0
21-03-2020,6,3,1
22-03-2020,2,1,1
23-03-2020,9,4,4
24-03-2020,10,5,4
25-03-2020,10,6,0
26-03-2020,17,8,6
27-03-2020,16,5,6
28-03-2020,24,11,3
29-03-2020,19,17,1
30-03-2020,21,13,2
31-03-2020,20,9,5
01-04-2020,27,12,3
02-04-2020,22,12,6
03-04-2020,37,23,7
04-04-2020,20,11,3
05-04-2020,29,17,4
06-04-2020,16,10,2
07-04-2020,34,18,4
08-04-2020,35,22,4
09-04-2020,29,16,4
10-04-2020,26,16,6
11-04-2020,35,18,9
12-04-2020,34,22,4
13-04-2020,31,23,5
14-04-2020,32,18,6
15-04-2020,32,18,9
16-04-2020,30,16,4
17-04-2020,28,22,4
18-04-2020,30,16,5
19-04-2020,27,16,2
20-04-2020,21,15,4
21-04-2020,27,17,3
22-04-2020,23,13,5
23-04-2020,35,21,8
24-04-2020,34,16,14
25-04-2020,26,11,10
26-04-2020,23,17,5
27-04-2020,25,17,4
28-04-2020,20,10,6
29-04-2020,25,10,10
30-04-2020,16,10,4
01-05-2020,18,12,3
02-05-2020,16,7,3
03-05-2020,20,12,5
04-05-2020,20,12,8
05-05-2020,11,4,5
06-05-2020,15,10,3
07-05-2020,16,11,4
08-05-2020,9,5,3
09-05-2020,12,6,5
10-05-2020,9,3,5
11-05-2020,9,3,5
12-05-2020,19,9,6
13-05-2020,12,7,3
14-05-2020,9,7,2
15-05-2020,6,3,3
16-05-2020,13,7,5
17-05-2020,15,9,6
18-05-2020,13,5,6
19-05-2020,16,9,3
20-05-2020,16,6,7
21-05-2020,14,4,8
22-05-2020,12,8,3
23-05-2020,13,7,9
24-05-2020,14,6,7
25-05-2020,14,6,6
26-05-2020,12,8,3
27-05-2020,14,3,10
28-05-2020,13,6,5
29-05-2020,14,8,6
30-05-2020,13,4,8
31-05-2020,14,11,3
01-06-2020,14,7,6
02-06-2020,12,4,7
03-06-2020,11,1,10
04-06-2020,8,5,3
05-06-2020,10,2,4
06-06-2020,9,1,8
07-06-2020,5,2,3
08-06-2020,6,1,5
09-06-2020,7,2,5
10-06-2020,5,0,4
11-06-2020,7,1,5
12-06-2020,1,1,0
13-06-2020,7,1,5
14-06-2020,5,0,5
15-06-2020,3,1,2
16-06-2020,2,0,2
17-06-2020,1,0,1
18-06-2020,1,0,1
19-06-2020,3,0,2
20-06-2020,1,1,0
21-06-2020,2,0,1
22-06-2020,4,0,4
23-06-2020,6,0,6
24-06-2020,3,0,3
25-06-2020,6,1,4
26-06-2020,6,1,4
27-06-2020,6,0,6
28-06-2020,3,0,2
