Data,Deaths
31/01/20,0
01/02/20,0
02/02/20,0
03/02/20,0
04/02/20,0
05/02/20,0
06/02/20,0
07/02/20,0
08/02/20,0
09/02/20,0
10/02/20,0
11/02/20,0
12/02/20,0
13/02/20,1
14/02/20,0
15/02/20,0
16/02/20,0
17/02/20,0
18/02/20,0
19/02/20,0
20/02/20,0
21/02/20,0
22/02/20,0
23/02/20,0
24/02/20,0
25/02/20,0
26/02/20,0
27/02/20,0
28/02/20,0
29/02/20,0
01/03/20,0
02/03/20,0
03/03/20,1
04/03/20,2
05/03/20,1
06/03/20,3
07/03/20,3
08/03/20,14
09/03/20,17
10/03/20,28
11/03/20,35
12/03/20,59
13/03/20,79
14/03/20,108
15/03/20,131
16/03/20,183
17/03/20,191
18/03/20,246
19/03/20,322
20/03/20,433
21/03/20,506
22/03/20,551
23/03/20,686
24/03/20,723
25/03/20,824
26/03/20,871
27/03/20,909
28/03/20,839
29/03/20,811
30/03/20,913
31/03/20,899
01/04/20,895
02/04/20,858
03/04/20,786
04/04/20,740
05/04/20,750
06/04/20,766
07/04/20,736
08/04/20,749
09/04/20,667
10/04/20,676
11/04/20,628
12/04/20,544
13/04/20,587
14/04/20,607
15/04/20,552
16/04/20,487
17/04/20,507
18/04/20,435
19/04/20,401
20/04/20,387
21/04/20,427
22/04/20,344
23/04/20,331
24/04/20,330
25/04/20,295
26/04/20,272
27/04/20,258
28/04/20,259
29/04/20,236
30/04/20,223
01/05/20,176
02/05/20,202
03/05/20,197
04/05/20,186
05/05/20,183
06/05/20,153
07/05/20,166
08/05/20,146
09/05/20,125
10/05/20,110
11/05/20,122
12/05/20,113
13/05/20,87
14/05/20,85
15/05/20,77
16/05/20,63
17/05/20,61
18/05/20,72
19/05/20,67
20/05/20,56
21/05/20,70
22/05/20,72
23/05/20,60
24/05/20,55
25/05/20,68
26/05/20,56
27/05/20,45
28/05/20,40
29/05/20,44
30/05/20,43
31/05/20,39
01/06/20,34
02/06/20,47
03/06/20,39
04/06/20,46
05/06/20,23
06/06/20,30
07/06/20,21
08/06/20,29
09/06/20,14
10/06/20,31
11/06/20,24
12/06/20,19
13/06/20,23
14/06/20,18
15/06/20,20
16/06/20,11
17/06/20,24
18/06/20,12
19/06/20,18
20/06/20,14
21/06/20,15
22/06/20,7
23/06/20,9
24/06/20,12
25/06/20,11
26/06/20,9
27/06/20,3
28/06/20,13
29/06/20,10
30/06/20,11
01/07/20,10
02/07/20,1
03/07/20,5
04/07/20,6
05/07/20,0
06/07/20,4
07/07/20,5
08/07/20,4
09/07/20,1
10/07/20,5
11/07/20,6
12/07/20,2
13/07/20,2
14/07/20,2
15/07/20,5
16/07/20,3
17/07/20,2
18/07/20,3
19/07/20,6
20/07/20,8
21/07/20,8
22/07/20,4
23/07/20,3
24/07/20,8
25/07/20,11
26/07/20,7
27/07/20,9
28/07/20,13
29/07/20,11
30/07/20,12
31/07/20,16
01/08/20,12
02/08/20,15
03/08/20,12
04/08/20,20
05/08/20,13
06/08/20,31
07/08/20,21
08/08/20,32
09/08/20,18
10/08/20,31
11/08/20,31
12/08/20,29
13/08/20,26
14/08/20,37
15/08/20,30
16/08/20,24
17/08/20,31
18/08/20,43
19/08/20,48
20/08/20,40
21/08/20,44
22/08/20,45
23/08/20,56
24/08/20,56
25/08/20,44
26/08/20,51
27/08/20,48
28/08/20,69
29/08/20,53
30/08/20,59
31/08/20,65
01/09/20,67
02/09/20,83
03/09/20,82
04/09/20,83
05/09/20,68
06/09/20,65
07/09/20,81
08/09/20,86
09/09/20,94
10/09/20,94
11/09/20,101
12/09/20,98
13/09/20,105
14/09/20,107
15/09/20,129
16/09/20,111
17/09/20,121
18/09/20,114
19/09/20,121
20/09/20,104
21/09/20,130
22/09/20,124
23/09/20,109
24/09/20,133
25/09/20,130
26/09/20,115
27/09/20,122
28/09/20,141
29/09/20,148
30/09/20,154
01/10/20,131
02/10/20,144
03/10/20,103
04/10/20,92
05/10/20,129
06/10/20,130
07/10/20,135
08/10/20,130
09/10/20,157
10/10/20,133
11/10/20,115
12/10/20,126
13/10/20,151
14/10/20,137
15/10/20,146
16/10/20,144
17/10/20,128
18/10/20,150
19/10/20,169
20/10/20,183
21/10/20,170
22/10/20,206
23/10/20,216
24/10/20,193
25/10/20,187
26/10/20,212
27/10/20,237
28/10/20,246
29/10/20,255
30/10/20,262
31/10/20,267
01/11/20,262
02/11/20,302
03/11/20,321
04/11/20,354
05/11/20,332
06/11/20,354
07/11/20,283
08/11/20,317
09/11/20,317
10/11/20,342
11/11/20,362
12/11/20,353
13/11/20,348
14/11/20,301
15/11/20,280
16/11/20,320
17/11/20,375
18/11/20,295
19/11/20,313
20/11/20,320
21/11/20,279
22/11/20,252
23/11/20,296
24/11/20,243
25/11/20,291
26/11/20,287
27/11/20,267
28/11/20,219
29/11/20,218
30/11/20,232
01/12/20,230
02/12/20,221
03/12/20,232
04/12/20,230
05/12/20,192
06/12/20,173
07/12/20,198
08/12/20,166
09/12/20,226
10/12/20,186
11/12/20,205
12/12/20,178
13/12/20,159
14/12/20,158
15/12/20,186
16/12/20,149
17/12/20,176
18/12/20,176
19/12/20,140
20/12/20,154
21/12/20,146
22/12/20,184
23/12/20,187
24/12/20,157
25/12/20,143
26/12/20,176
27/12/20,164
28/12/20,196
29/12/20,163
30/12/20,195
31/12/20,189
01/01/21,172
02/01/21,188
03/01/21,180
04/01/21,187
05/01/21,236
06/01/21,186
07/01/21,232
08/01/21,247
09/01/21,225
10/01/21,233
11/01/21,293
12/01/21,283
13/01/21,293
14/01/21,312
15/01/21,387
16/01/21,359
17/01/21,358
18/01/21,407
19/01/21,480
20/01/21,450
21/01/21,482
22/01/21,561
23/01/21,447
24/01/21,513
25/01/21,522
26/01/21,539
27/01/21,589
28/01/21,571
29/01/21,523
30/01/21,508
31/01/21,482
01/02/21,537
02/02/21,489
03/02/21,484
04/02/21,460
05/02/21,451
06/02/21,407
07/02/21,377
08/02/21,407
09/02/21,386
10/02/21,405
11/02/21,352
12/02/21,335
13/02/21,284
14/02/21,240
15/02/21,279
16/02/21,290
17/02/21,251
18/02/21,241
19/02/21,221
20/02/21,178
21/02/21,180
22/02/21,221
23/02/21,183
24/02/21,209
25/02/21,194
26/02/21,174
27/02/21,158
28/02/21,147
01/03/21,132
02/03/21,153
03/03/21,142
04/03/21,135
05/03/21,128
06/03/21,122
07/03/21,96
08/03/21,115
09/03/21,114
10/03/21,101
11/03/21,94
12/03/21,101
13/03/21,79
14/03/21,78
15/03/21,96
16/03/21,106
17/03/21,89
18/03/21,66
19/03/21,65
20/03/21,66
21/03/21,57
22/03/21,71
23/03/21,82
24/03/21,50
25/03/21,63
26/03/21,82
27/03/21,63
28/03/21,66
29/03/21,84
30/03/21,81
31/03/21,74
01/04/21,68
02/04/21,64
03/04/21,74
04/04/21,54
05/04/21,71
06/04/21,76
07/04/21,91
08/04/21,77
09/04/21,77
10/04/21,87
11/04/21,52
12/04/21,90
13/04/21,74
14/04/21,84
15/04/21,68
16/04/21,79
17/04/21,74
18/04/21,56
19/04/21,76
20/04/21,81
21/04/21,62
22/04/21,69
23/04/21,75
24/04/21,68
25/04/21,55
26/04/21,64
27/04/21,63
28/04/21,62
29/04/21,56
30/04/21,58
01/05/21,52
02/05/21,43
03/05/21,69
04/05/21,67
05/05/21,62
06/05/21,56
07/05/21,65
08/05/21,45
09/05/21,44
10/05/21,53
11/05/21,46
12/05/21,51
13/05/21,49
14/05/21,40
15/05/21,35
16/05/21,33
17/05/21,36
18/05/21,32
19/05/21,44
20/05/21,27
21/05/21,38
22/05/21,30
23/05/21,30
24/05/21,30
25/05/21,22
26/05/21,29
27/05/21,13
28/05/21,15
29/05/21,17
30/05/21,25
31/05/21,31
01/06/21,23
